county,precinct,office,district,candidate,party,votes
Wayne,"City of Detroit, Precinct 94",Ballots Cast,"","","",243
Wayne,"City of Detroit, Precinct 95",Ballots Cast,"","","",230
Wayne,"City of Detroit, Precinct 96",Ballots Cast,"","","",139
Wayne,"City of Detroit, Precinct 97",Ballots Cast,"","","",97
Wayne,"City of Detroit, Precinct 98",Ballots Cast,"","","",188
Wayne,"City of Detroit, Precinct 99",Ballots Cast,"","","",63
Wayne,"City of Detroit, Precinct 100",Ballots Cast,"","","",74
Wayne,"City of Detroit, Precinct 101",Ballots Cast,"","","",10
Wayne,"City of Detroit, Precinct 102",Ballots Cast,"","","",127
Wayne,"City of Detroit, Precinct 103",Ballots Cast,"","","",110
Wayne,"City of Detroit, Precinct 104",Ballots Cast,"","","",61
Wayne,"City of Detroit, Precinct 105",Ballots Cast,"","","",79
Wayne,"City of Detroit, Precinct 106",Ballots Cast,"","","",157
Wayne,"City of Detroit, Precinct 107",Ballots Cast,"","","",80
Wayne,"City of Detroit, Precinct 108",Ballots Cast,"","","",187
Wayne,"City of Detroit, Precinct 109",Ballots Cast,"","","",0
Wayne,"City of Detroit, Precinct 110",Ballots Cast,"","","",146
Wayne,"City of Detroit, Precinct 111",Ballots Cast,"","","",179
Wayne,"City of Detroit, Precinct 112",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 113",Ballots Cast,"","","",108
Wayne,"City of Detroit, Precinct 114",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 115",Ballots Cast,"","","",243
Wayne,"City of Detroit, Precinct 116",Ballots Cast,"","","",160
Wayne,"City of Detroit, Precinct 117",Ballots Cast,"","","",82
Wayne,"City of Detroit, Precinct 118",Ballots Cast,"","","",163
Wayne,"City of Detroit, Precinct 119",Ballots Cast,"","","",99
Wayne,"City of Detroit, Precinct 120",Ballots Cast,"","","",135
Wayne,"City of Detroit, Precinct 121",Ballots Cast,"","","",135
Wayne,"City of Detroit, Precinct 122",Ballots Cast,"","","",82
Wayne,"City of Detroit, Precinct 123",Ballots Cast,"","","",193
Wayne,"City of Detroit, Precinct 124",Ballots Cast,"","","",157
Wayne,"City of Detroit, Precinct 125",Ballots Cast,"","","",99
Wayne,"City of Detroit, Precinct 126",Ballots Cast,"","","",199
Wayne,"City of Detroit, Precinct 127",Ballots Cast,"","","",106
Wayne,"City of Detroit, Precinct 128",Ballots Cast,"","","",172
Wayne,"City of Detroit, Precinct 129",Ballots Cast,"","","",132
Wayne,"City of Detroit, Precinct 130",Ballots Cast,"","","",121
Wayne,"City of Detroit, Precinct 131",Ballots Cast,"","","",172
Wayne,"City of Detroit, Precinct 132",Ballots Cast,"","","",173
Wayne,"City of Detroit, Precinct 133",Ballots Cast,"","","",186
Wayne,"City of Detroit, Precinct 134",Ballots Cast,"","","",146
Wayne,"City of Detroit, Precinct 135",Ballots Cast,"","","",149
Wayne,"City of Detroit, Precinct 136",Ballots Cast,"","","",269
Wayne,"City of Detroit, Precinct 137",Ballots Cast,"","","",108
Wayne,"City of Detroit, Precinct 138",Ballots Cast,"","","",85
Wayne,"City of Detroit, Precinct 139",Ballots Cast,"","","",196
Wayne,"City of Detroit, Precinct 140",Ballots Cast,"","","",88
Wayne,"City of Detroit, Precinct 141",Ballots Cast,"","","",201
Wayne,"City of Detroit, Precinct 142",Ballots Cast,"","","",112
Wayne,"City of Detroit, Precinct 143",Ballots Cast,"","","",192
Wayne,"City of Detroit, Precinct 144",Ballots Cast,"","","",213
Wayne,"City of Detroit, Precinct 145",Ballots Cast,"","","",156
Wayne,"City of Detroit, Precinct 146",Ballots Cast,"","","",154
Wayne,"City of Detroit, Precinct 147",Ballots Cast,"","","",294
Wayne,"City of Detroit, Precinct 148",Ballots Cast,"","","",0
Wayne,"City of Detroit, Precinct 149",Ballots Cast,"","","",178
Wayne,"City of Detroit, Precinct 150",Ballots Cast,"","","",171
Wayne,"City of Detroit, Precinct 151",Ballots Cast,"","","",167
Wayne,"City of Detroit, Precinct 152",Ballots Cast,"","","",94
Wayne,"City of Detroit, Precinct 153",Ballots Cast,"","","",85
Wayne,"City of Detroit, Precinct 154",Ballots Cast,"","","",63
Wayne,"City of Detroit, Precinct 155",Ballots Cast,"","","",51
Wayne,"City of Detroit, Precinct 156",Ballots Cast,"","","",216
Wayne,"City of Detroit, Precinct 157",Ballots Cast,"","","",220
Wayne,"City of Detroit, Precinct 158",Ballots Cast,"","","",250
Wayne,"City of Detroit, Precinct 159",Ballots Cast,"","","",136
Wayne,"City of Detroit, Precinct 160",Ballots Cast,"","","",186
Wayne,"City of Detroit, Precinct 161",Ballots Cast,"","","",211
Wayne,"City of Detroit, Precinct 162",Ballots Cast,"","","",70
Wayne,"City of Detroit, Precinct 163",Ballots Cast,"","","",181
Wayne,"City of Detroit, Precinct 164",Ballots Cast,"","","",225
Wayne,"City of Detroit, Precinct 165",Ballots Cast,"","","",95
Wayne,"City of Detroit, Precinct 166",Ballots Cast,"","","",175
Wayne,"City of Detroit, Precinct 167",Ballots Cast,"","","",222
